Title, Artist, Genre, Verse1, Verse2, Verse3, Verse4, Verse5, Verse6, Verse7, Verse8, Chorus1, Chorus2, Chorus3, Chorus4, Chorus5, Chorus6, Chorus7, Chorus8
Futari Saison,Keyakizaka46,J-Pop,A-,E-,F7,C7,D-maj7,C7,B-7,E-7,D-maj7,E-,C7,F7,D-maj7,E-,C7,F7
Mondai Girl,Kyary Pamyu Pamyu,J-Pop,Gmaj7,B7,A,Gmaj7,A,B7,A,Gmaj7,,,,,,,,
Asu e no Houkou,JAM Project,J-Pop,C#,A,E,B,C#,F#,F#,G#,C#,E,A,B,B,E,F#,G#
Liminality,FELT,J-Pop,C7,A-maj7,C7,A-maj7,C7,A-maj7,C7,C7,A#,Bmaj7,C#,D#7,Bmaj7,C#,D#7,Bmaj7
Double Lariat - featuring Megurine Luka,Agoaniki-P,J-Pop,,,,,,,,,,,,,,,,
Roaring Tides,Clannad OST,J-Pop,,,,,,,,,,,,,,,,
Renai Circulation--Bakemonogatari OP4,Kana Hanazawa-Satoru Kousaki-meg rock,J-Pop,,,,,,,,,,,,,,,,
Love Live - Silent tonight,BiBi,J-Pop,,,,,,,,,,,,,,,,
Artificial Children,IOSYS,J-Pop,,,,,,,,,,,,,,,,
Futari no Mojipittan,Kotoba no Puzzle,J-Pop,,,,,,,,,,,,,,,,
Here And There Acchi Kocchi,DATEKEN--Kagamine Rin,J-Pop,,,,,,,,,,,,,,,,
Koi,Hoshino Gen,J-Pop,,,,,,,,,,,,,,,,
Love Live Sunshine S2 - WATER BLUE NEW WORLD,Aqours,J-Pop,,,,,,,,,,,,,,,,
Ambiguous - Kill La Kill KLK Opening 2,GARNiDELiA,J-Pop,,,,,,,,,,,,,,,,
Ponytail to Shushu,AKB48,J-Pop,,,,,,,,,,,,,,,,
Hatsukoi,Kojima Mayumi,J-Pop,,,,,,,,,,,,,,,,
Binks No Sake,Kohei Tanaka,J-Pop,,,,,,,,,,,,,,,,
Furisodation,Kyary Pamyu Pamyu,J-Pop,,,,,,,,,,,,,,,,
Perfume,Fusq,J-Pop,,,,,,,,,,,,,,,,
GONG,JAM Project,J-Pop,,,,,,,,,,,,,,,,
Hitorigoto,ClariS,J-Pop,,,,,,,,,,,,,,,,
Uchuu Senkan Yamato,Isao Sasaki,J-Pop,,,,,,,,,,,,,,,,
Blend-S OP,Blend A,J-Pop,,,,,,,,,,,,,,,,
What's Up,4 Non Blondes,Folk,,,,,,,,,,,,,,,,
Kalevala Melody,Ensiferum,Folk,,,,,,,,,,,,,,,,
Heart Is A Drum,Beck,Folk,,,,,,,,,,,,,,,,
Morning,Beck,Folk,,,,,,,,,,,,,,,,
Goodbye Kiss,Kasabian,Folk,,,,,,,,,,,,,,,,
Oh Comely,Neutral Milk Hotel,Folk,,,,,,,,,,,,,,,,
Rabbit Heart,Florence and the Machine,Folk,,,,,,,,,,,,,,,,
Gibraltar,Beirut,Folk,,,,,,,,,,,,,,,,
Acts of Man,Midlake,Folk,,,,,,,,,,,,,,,,
Bible Days,Jessica Lea Mayfield,Folk,,,,,,,,,,,,,,,,
Islandsljod,Icelandic Folk,Folk,,,,,,,,,,,,,,,,
Congratulations,MGMT,Folk,,,,,,,,,,,,,,,,
pianoman,billy joel,Folk,,,,,,,,,,,,,,,,
